UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,FIRST_MESSAGE_TIMESTAMP,LAST_MESSAGE_TIMESTAMP,FIRST_MESSAGE_VALUE,HIGH_MESSAGE_VALUE,HIGH_MESSAGE_TIMESTAMP,LOW_MESSAGE_VALUE,LOW_MESSAGE_TIMESTAMP,LAST_MESSAGE_VALUE,TOTAL_INDEX_UPDATES,VOLUME,QUOTE_VOLUME,VOLUME_TOP_TIER,QUOTE_VOLUME_TOP_TIER,VOLUME_DIRECT,QUOTE_VOLUME_DIRECT,VOLUME_TOP_TIER_DIRECT,QUOTE_VOLUME_TOP_TIER_DIRECT,valid_close,valid_hilo,Measure2
DAY,1592006400,267,cadli,BTC-USD,9465.31643360108,9510.72818156061,9374.08756232032,9474.17785160749,1592006400,1592092740,9467.26848649645,9510.72818156061,1592072160,9374.08756232032,1592022480,9474.17785160749,1440,270593.417404689,2554120981.73402,107356.589703686,1013246539.27388,18306.7308741813,172551908.043163,13777.4715328313,129867532.013844,True,True,0.008690843272274486
DAY,1592092800,267,cadli,BTC-USD,9474.17785160749,9505.58448309903,9261.6836076949,9335.64807084669,1592092800,1592179140,9476.38024650877,9505.58448309903,1592096760,9261.6836076949,1592173500,9335.64807084669,1440,251329.868798761,2363311619.26347,97617.6339962981,917341544.716142,22506.6792549679,210950384.205603,16704.2517134279,156543306.431393,True,True,0.015610759135997843
DAY,1592179200,267,cadli,BTC-USD,9335.64807084669,9572.93464319157,8924.12839811965,9500.63565042032,1592179200,1592265540,9327.45224521957,9572.93464319157,1592255820,8924.12839811965,1592202780,9500.63565042032,1440,542069.408941488,5003997542.25132,227557.142201077,2099223906.16585,79955.6418173989,736308216.013137,63381.6804517589,583352416.242595,True,True,0.042148072555938255
DAY,1592265600,267,cadli,BTC-USD,9500.63565042032,9635.57009359084,9379.70169878032,9530.47708115578,1592265600,1592351940,9503.94516938769,9635.57009359084,1592313060,9379.70169878032,1592268300,9530.47708115578,1440,412363.698685958,3919611895.37541,163800.739451988,1556776106.61794,43800.6439457605,416016569.331461,34799.2793038805,330499049.680539,True,True,0.016163209059919262
DAY,1592352000,267,cadli,BTC-USD,9530.47708115578,9570.62575643761,9258.30439982849,9457.67367065552,1592352000,1592438340,9560.02693025246,9570.62575643761,1592380320,9258.30439982849,1592424360,9457.67367065552,1440,361452.084112371,3414596542.73526,147686.912075217,1394125131.58067,36627.3834510385,345192180.306514,30731.5536159185,289537224.162955,True,True,0.0199252207954034
DAY,1592438400,267,cadli,BTC-USD,9457.67367065552,9487.40006977589,9277.70690579102,9379.76179791113,1592438400,1592524740,9459.56778465548,9487.40006977589,1592487720,9277.70690579102,1592514960,9379.76179791113,1440,309639.270991569,2912740306.55693,134135.203648595,1261904410.75089,25408.9774860104,238791521.344429,21219.0975767204,199397116.173828,True,True,0.01342265957221543
DAY,1592524800,267,cadli,BTC-USD,9379.76179791113,9441.59595072186,9237.17188019062,9300.30726072619,1592524800,1592611140,9372.42688960785,9441.59595072186,1592568840,9237.17188019062,1592538540,9300.30726072619,1440,380814.614706481,3554201243.65906,165012.334150077,1540135345.81788,32672.8185178535,304741637.690971,27246.8838229735,254104192.383436,True,True,0.013145842278682086
DAY,1592611200,267,cadli,BTC-USD,9300.30726072619,9435.75391284097,9193.54638974502,9350.03681802414,1592611200,1592697540,9295.12528738796,9435.75391284097,1592693280,9193.54638974502,1592651760,9350.03681802414,1440,313330.806589834,2917098217.49974,134626.711118164,1252923988.40991,21322.6176808636,198242269.474922,17499.8877901036,162681382.911216,True,True,0.015617187583558156
DAY,1592697600,267,cadli,BTC-USD,9350.03681802414,9500.512576363,9281.44035019803,9286.00592889455,1592697600,1592783940,9363.6750655803,9500.512576363,1592735280,9281.44035019803,1592781720,9286.00592889455,1440,279417.773219991,2615032181.51537,121404.319275231,1136280165.58359,12860.5897129391,120229032.583695,10004.4625452991,93512040.0230167,True,True,0.014010496933190515
DAY,1592784000,267,cadli,BTC-USD,9286.00592889455,9751.27687172905,9271.73263610806,9691.18891001144,1592784000,1592870340,9284.15425169534,9751.27687172905,1592860200,9271.73263610806,1592784060,9691.18891001144,1440,425589.390917355,4048007880.34484,187018.507264276,1779964416.44741,47800.8081107901,456210853.848576,41159.6634599301,392923020.020939,True,True,0.030285080980309492
DAY,1592870400,267,cadli,BTC-USD,9691.18891001144,9736.23821909318,9584.26740875026,9623.62738620504,1592870400,1592956740,9709.53358847613,9736.23821909318,1592870820,9584.26740875026,1592904660,9623.62738620504,1440,315635.972443491,3043467816.01991,150247.946285899,1448377951.58336,34276.6780132359,330505181.560207,28817.3948560259,277880619.08698,True,True,0.009447957209811595
DAY,1592956800,267,cadli,BTC-USD,9623.62738620504,9671.27909712342,9209.44713444929,9290.90001196646,1592956800,1593043140,9613.82759528781,9671.27909712342,1592974920,9209.44713444929,1593014040,9290.90001196646,1440,382160.980028393,3595463915.3805,184972.619804434,1739684566.13067,63839.9686467045,598618466.312639,55639.9800620645,521604053.573029,True,True,0.029385913674277574
DAY,1593043200,267,cadli,BTC-USD,9290.90001196646,9374.95321350222,9037.34562377122,9261.12661219675,1593043200,1593129540,9288.28795520816,9374.95321350222,1593074340,9037.34562377122,1593056160,9261.12661219675,1440,374760.748069979,3457365581.19903,188032.557749443,1733926588.8417,56963.3231839292,524095517.370775,48723.3640368692,448156946.689209,True,True,0.022026228186197244
